epoch,loss,val_loss
0,0.010697873815506263,0.00896055797494731
1,0.00960723951585212,0.00989936808015681
2,0.03720948374187506,0.1514041979336044
3,0.1430197893021759,0.12342560030881641
4,0.12403189019270729,0.12366644806653551
5,0.12403189017466713,0.12314855603917131
6,0.12403189060763066,0.12468236279719085
7,0.12403189049938977,0.12346301206107278
8,0.12403189028290802,0.12318627369924656
9,0.12403189040918905,0.1233214473406088
10,0.1240318900483861,0.12385934844468403
11,0.1240318906617511,0.12379093475422813
12,0.12403189033702845,0.1236379735388802
13,0.12403189140139712,0.12405715094318667
14,0.124031889543262,0.12332220983158038
15,0.12403189024682772,0.12388428293385552
16,0.12403189078803213,0.12387395151031827
17,0.1240318912029555,0.1233570076597547
18,0.12403188990406494,0.12342597725032603
19,0.12403189049938977,0.12332318267486628
20,0.12403189053547008,0.12350388898432833
21,0.12403189030094816,0.12350705519173909
22,0.12403189053547008,0.12402834142874745
23,0.12403189058959051,0.1234260325871625
24,0.12403189084215256,0.12303829684998226
25,0.12403189086019271,0.12372391077789288
26,0.12403189019270729,0.12391891366648443
27,0.12403189051742992,0.12325451212021911
28,0.12403189053547008,0.12348158628616518
29,0.12403188990406494,0.12442408111488935
30,0.12403189055351022,0.12357482234540496
31,0.12403189017466713,0.12365176253816457
32,0.12403189169003946,0.12387397972125451
33,0.12403189017466713,0.12347021293871611
34,0.12403189057155037,0.12480820216310834
35,0.12403189037310874,0.12339065325202293
36,0.12403188999426568,0.12367478714695254
37,0.12403189026486787,0.1239585399772357
38,0.12403189078803213,0.12321734211398559
39,0.1240318906617511,0.12354442846138501
40,0.12403188990406494,0.12375488363712736
41,0.12403189116687521,0.12355896078267144
42,0.12403188995818537,0.12356160067528196
43,0.1240318900844664,0.12360401610726292
44,0.12403189019270729,0.1239274121748591
45,0.12403189026486787,0.12308640893801902
46,0.12403189122099564,0.12413290020042253
47,0.12403189042722919,0.12325768230609524
48,0.12403189084215256,0.12369656483235869
49,0.12403189030094816,0.12375361819579764
