epoch,loss,val_loss
0,0.011560930800567816,0.0090879542590345
1,0.00939139043100485,0.009128592392990312
2,0.009154105964894733,0.008616960318126147
3,0.008264447754073085,0.00684684250069764
4,0.006501257929220326,0.005795570499562089
5,0.005260128797918161,0.004155439772254344
6,0.0037287033611759723,0.0038961361408758077
7,0.0028440699851722175,0.002281094532803569
8,0.002221013943340007,0.0022945785917594884
9,0.001871806356439155,0.002055047365872967
10,0.0016847571116233961,0.0017459252719242957
11,0.00172456623842606,0.0017696267024396909
12,0.0016680801845128596,0.0015508072660982753
13,0.0016904037270174062,0.0019739016244025194
14,0.0015091919768646755,0.0014059410206702294
15,0.0014227301411705033,0.0014121547568526156
16,0.001376274066354818,0.0013264613033914306
17,0.0016436128125618466,0.0015440982895297477
18,0.0013609390385047539,0.00122631420844768
19,0.0014897270383793617,0.0017187299559489615
