epoch,decoded_imap_loss,decoded_mmap_loss,loss,val_decoded_imap_loss,val_decoded_mmap_loss,val_loss
0,0.022485627204215843,0.06950976880894158,0.09199539597256709,0.01789449827148787,0.0556689754707142,0.07356347328106176
1,0.017808987666597956,0.055327251382154066,0.0731362391073825,0.017643061150046227,0.05510711868845143,0.07275017983849766
2,0.01769857831551867,0.05496885273921288,0.07266743119454268,0.017465023821201717,0.055073277283351395,0.07253830131251836
3,0.01768354038069742,0.054876096681951037,0.07255963700627299,0.01763799755825001,0.055719935778275276,0.07335793357161642
4,0.017669891740125548,0.05475587188548095,0.07242576354893587,0.017422779517483365,0.05502231719279752,0.07244509657465138
5,0.01767027450693866,0.054678235825412785,0.07234851018352023,0.017350989918323977,0.05481251792132276,0.0721635078486887
6,0.017642350093919342,0.054635582379004566,0.0722779325202793,0.017530283872580644,0.05543677237572022,0.07296705629351069
7,0.017649144955773185,0.0548935926476489,0.07254273758312692,0.017348263376546137,0.05490120626913691,0.07224946942867584
8,0.01767068184443161,0.05476493237779158,0.07243561411849235,0.017690015821129952,0.0545648559204583,0.07225487185913382
9,0.017697864205330684,0.054789949379879396,0.07248781375208144,0.017496424564386454,0.05495504857701005,0.07245147318660634
10,0.017691718482076402,0.05475520488713613,0.07244692329705195,0.0173509772957384,0.05467847094518467,0.07202944835846864
11,0.01769809292733092,0.05467744858949006,0.07237554149427079,0.017551076119241206,0.05454373204158348,0.07209480810657289
12,0.017671961682345763,0.05468586332572863,0.0723578250689599,0.01713800126487769,0.05468287257459557,0.07182087355013032
13,0.017574357791165608,0.054685904890226684,0.07226026265658708,0.014518222563619752,0.055045309720687496,0.06956353230239118
14,0.014266832875985354,0.05447354900129771,0.06874038183443772,0.014626448612334659,0.054372630253868195,0.06899907852260811
15,0.014191599540213984,0.054670580931134145,0.06886218057056893,0.013842612676756474,0.05649394440708808,0.0703365571290544
16,0.014216836841808538,0.05481572859620644,0.06903256539065959,0.014097692562466107,0.05539460744238594,0.06949229997772614
17,0.014394634253329645,0.0547240091077352,0.0691186432562065,0.014465056866118051,0.054958695455372915,0.06942375170663723
18,0.014374051139335944,0.05475451340831221,0.06912856457019834,0.014263044355563748,0.05515403673052788,0.06941708094142016
19,0.014391896075887051,0.0547151276638808,0.06910702368790243,0.014010730877663325,0.05435033656150392,0.06836106736683151
20,0.01440480009136275,0.05469788105811103,0.06910268114496375,0.013982148072456272,0.05522290262782458,0.06920505087207822
21,0.014421207521372355,0.05464965684145472,0.06907086440567244,0.01431116676048457,0.054407961377241076,0.06871912805634794
22,0.014382232262439502,0.05475080052963469,0.0691330327176586,0.014245530210652398,0.05527667108091336,0.06952220158090869
23,0.014357782237358013,0.05478252302719952,0.06914030515180662,0.014138355236319662,0.05477187229157651,0.06891022807041418
24,0.014399314700619071,0.05476432922352602,0.06916364405944618,0.014170551871501126,0.054730838761456964,0.06890139048828663
25,0.014327793368578102,0.054680801044076174,0.06900859409469669,0.014012971594568017,0.05527715489846989,0.06929012648399593
26,0.014420828969188521,0.054780878830186966,0.06920170779486545,0.014148830879226472,0.05512981901614411,0.06927864976878305
27,0.014373835336335778,0.05465492826252815,0.06902876342973756,0.01448715744919858,0.05484244353996897,0.06932960092587379
28,0.014433333454044765,0.05479578601678982,0.06922911939190894,0.01415877838989774,0.05491561836843352,0.06907439665886962
29,0.014344695434605672,0.05475252529394251,0.06909722070825303,0.014173670771341879,0.054971694078260254,0.0691453647772664
30,0.014383915487054474,0.054797996701469724,0.06918191229676507,0.01395023595180037,0.054954997037799616,0.06890523299864194
31,0.01436079439163641,0.054706919974406173,0.06906771444271322,0.014300897346755255,0.05432849004864693,0.06862938718743694
32,0.014341836028504603,0.05475152852171558,0.06909336453669007,0.013957080612121855,0.05490737516903183,0.06886445604337071
33,0.014412964200352929,0.054711597333447985,0.06912456156988121,0.014752850533255096,0.054751982641162225,0.06950483319250125
